param,mig,year,nborn,nbornLL,nbornuL,LRS,LRSll,LRSul,LRSfemale,LRSfemll,LRSfemul,LRSmale,LRSmalll,LRSmalul,RRS,RRSll,RRSul,col
a,0.5,-1,121.67,118,124.525,1.036357731,0.808120311,1.230965447,1.0707698,0.74735732,1.351293103,1.001615332,0.752083333,1.354096045,0.098629736,0.073857967,0.122497549,red
b,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,black
c,1,-1,242.95,238.475,247,1.051556787,0.911533132,1.200264894,1.057412942,0.867173913,1.253365384,1.046868766,0.849597689,1.275860882,0.100128581,0.080833261,0.126282051,darkorchid
d,5,-1,1216.19,1204.475,1228,0.998742004,0.932163383,1.054526801,1.003353542,0.919991599,1.091044865,0.994291779,0.886712506,1.086220518,0.097231692,0.072437966,0.116970156,springgreen
a,0.5,0,456.27,438.475,473,0.921208819,0.863540666,0.978731672,0.92454028,0.827736993,1.039093861,0.920656418,0.8008803,1.042314901,0.087701054,0.073767093,0.101368165,red
b,0,0,452.43,436,468.525,0.939399161,0.890887157,1.006721815,0.949603508,0.86059322,1.044258557,0.932527803,0.832891489,1.045122513,0.088041361,0.072494104,0.104350514,black
c,1,0,456.98,446,472,0.917324929,0.858963083,0.980364022,0.913010335,0.811232214,1.033388735,0.923774543,0.836197917,1.02134979,0.087347335,0.072846268,0.103184519,darkorchid
d,5,0,464.45,448.475,478,0.836003032,0.759535784,0.890859172,0.844435914,0.743846154,0.950809471,0.83081167,0.723284637,0.934767816,0.081377169,0.063089852,0.097764831,springgreen
a,0.5,100,46.78,43,51,1.879871283,1.5,2.333628435,1.93696061,1.389095372,2.692307692,1.84902698,1.321264368,2.403472222,0.178882027,0.131285461,0.230879871,red
b,0,100,46.66,42,50.525,1.908268026,1.601491448,2.333333333,1.89868425,1.360847702,2.481730769,1.9262145,1.369360903,2.595833333,0.178758121,0.136851343,0.244253623,black
c,1,100,46.27,43,51,1.912390456,1.579967949,2.325581395,1.941635205,1.36,2.61625,1.901618725,1.380090312,2.59725,0.182129771,0.135443361,0.2459161,darkorchid
d,5,100,45.79,37.9,51.525,1.811429983,1.477604167,2.166666667,1.82402481,1.281547619,2.4,1.817219671,1.150757576,2.385,0.176127004,0.13195655,0.22580267,springgreen
a,0.5,150,14.56,9.475,19,0.718917595,0.319871795,1.29375,0.772018759,0.166666667,1.4525,0.673269064,0.142857143,1.5,0.068428851,0.030524475,0.122191142,red
b,0,150,13.8,9.475,18.525,0.775417879,0.262820513,1.295334929,0.849999278,0.059375,1.754166667,0.721776113,0,1.495238096,0.073036655,0.026249676,0.128510101,black
c,1,150,14.47,9.475,20.525,0.69888382,0.20506993,1.267094017,0.737143144,0.133482143,1.864285714,0.674675824,0,1.355208333,0.06664329,0.018642721,0.127997159,darkorchid
d,5,150,15.04,8.95,21,0.63716785,0.181818182,1.184166667,0.618444278,0,1.25,0.650139194,0,1.415,0.061800168,0.016590909,0.117027777,springgreen
a,0.5,175,26.8,23,30,2.004370621,1.544428571,2.5,2.000580355,1.270833333,2.696346154,2.055037,1.327142857,2.894722222,0.190809586,0.14589412,0.25,red
b,0,175,26.16,22,30,1.983754389,1.392361111,2.612037037,2.026716026,1.134598214,2.836111111,1.967004825,1.210555555,2.818181818,0.185706388,0.132077295,0.244139493,black
c,1,175,26.68,22.475,31.525,1.952454999,1.518269231,2.389814814,1.969960009,1.307692308,2.766346154,1.973479143,1.173863637,2.947222222,0.185701564,0.126696429,0.238981482,darkorchid
d,5,175,27.87,22.475,33,1.696530827,1.285057471,2.1940625,1.765687611,1.105277778,2.592083333,1.64072523,0.9671875,2.678553921,0.165318189,0.11599359,0.218444573,springgreen
a,0.5,200,28.77,24,33.525,2.191550721,1.697115385,2.743131868,2.187012842,1.557792207,2.851923077,2.240830765,1.405494506,3.1575,0.208502731,0.151515152,0.269497519,red
b,0,200,28.93,24.475,33.525,2.193152298,1.655376344,2.715524194,2.205615854,1.442719299,2.933258929,2.188873438,1.315972222,2.919318182,0.205451825,0.144423077,0.284758454,black
c,1,200,28.92,23,34,2.207986134,1.706034483,2.811276224,2.244208864,1.63974359,3.047727273,2.19288349,1.333333333,3.165277778,0.209706763,0.163081502,0.260932209,darkorchid
d,5,200,28.07,22,34.05,1.947970631,1.510326087,2.481730769,1.968114594,1.22375,2.609090909,1.920507288,1.25,2.677604167,0.189424061,0.129931818,0.254375,springgreen
a,0.5,225,43.67,39,49,2.118190071,1.693125,2.568449613,2.088579604,1.617904509,2.703088235,2.168315629,1.591708754,2.932954546,0.201948482,0.151359293,0.251395349,red
b,0,225,44.76,40,48.525,2.131529368,1.855,2.488891638,2.164190586,1.64,2.677604167,2.115746933,1.571428571,2.684166667,0.200171154,0.14856701,0.249494681,black
c,1,225,43.03,37,48,2.143650757,1.830201049,2.524434524,2.141096461,1.584629186,2.644047619,2.159011273,1.59361413,2.817045455,0.204318729,0.161761712,0.250735931,darkorchid
d,5,225,38.8,32,46,2.011558325,1.597953964,2.368814969,2.022961111,1.379567308,2.718452381,2.01931116,1.428571429,2.680128205,0.195767706,0.139024601,0.249228395,springgreen
